"","degree","frequency","ratio","terms"
"magic",1863,1192,-0.564880012683713,"magic"
"post",8070,5164,-0.564991767877674,"post"
"pretti",16208,10419,-0.569478614207633,"pretti"
"project",4493,2897,-0.572442414272881,"project"
"probabl",16781,10857,-0.57576602987167,"probabl"
"remain",2548,1650,-0.576645653588995,"remain"
"pure",1167,756,-0.577018352556296,"pure"
"regardless",1602,1038,-0.577206199561526,"regardless"
"pop",1428,933,-0.58527335262217,"pop"
"restart",1074,704,-0.5884095328831,"restart"
"redirect",1616,1064,-0.592675058210882,"redirect"
"reduc",2110,1391,-0.593873650445807,"reduc"
"object",14417,9556,-0.599044724923172,"object"
"produc",2616,1737,-0.600708263219531,"produc"
"ebook",972,646,-0.601590789755164,"ebook"
"promot",840,559,-0.602825873764932,"promot"
"pictur",1747,1169,-0.608018992157881,"pictur"
"recogn",1187,796,-0.610056044442604,"recogn"
"relat",5069,3401,-0.610536095129638,"relat"
"respons",2579,1748,-0.62001279892088,"respons"
"request",4426,3002,-0.620674264195872,"request"
"predict",917,623,-0.622211549475033,"predict"
"regard",2535,1723,-0.622614135188341,"regard"
"push",3139,2152,-0.630569118241731,"push"
"reason",5174,3571,-0.63671068271726,"reason"
"research",3319,2293,-0.637621032990437,"research"
"quit",7616,5287,-0.641989302441846,"quit"
"sensit",1520,1060,-0.646116878304734,"sensit"
"pull",3193,2244,-0.653082094448053,"pull"
"restrict",1307,925,-0.659339127554638,"restrict"
"repeat",997,709,-0.663602044754251,"repeat"
"prime",1013,721,-0.664366087676328,"prime"
"resourc",3635,2602,-0.66939988371313,"resourc"
"miss",8405,6027,-0.6709397909188,"miss"
"left",11773,8459,-0.672694677652641,"left"
"refus",871,626,-0.672945571949197,"refus"
"random",3674,2644,-0.67408737983466,"random"
"question",4813,3467,-0.674924819348029,"question"
"requir",12420,8951,-0.675351572619222,"requir"
"pass",7029,5085,-0.6786610755585,"pass"
"respond",1170,849,-0.681312551849885,"respond"
"reflect",772,561,-0.682558465427196,"reflect"
"put",13416,9788,-0.685995568486473,"put"
"secur",2944,2148,-0.68604638503654,"secur"
"remot",5220,3833,-0.691539396725437,"remot"
"record",2886,2122,-0.692685816763292,"record"
"recov",793,586,-0.69696658071354,"recov"
"render",1078,798,-0.698456498095647,"render"
"real",8708,6499,-0.705372583491286,"real"
"releas",4457,3328,-0.705785616318145,"releas"
"regist",1573,1177,-0.707545822543828,"regist"
"raw",1152,866,-0.711448096810252,"raw"
"festiv",1538,1158,-0.7127722911355,"festiv"
"retriev",810,610,-0.712950651835668,"retriev"
"respect",1467,1107,-0.714629852573842,"respect"
"dvd",1114,844,-0.717967363519678,"dvd"
"recommend",6123,4645,-0.719046855454191,"recommend"
"regular",2661,2022,-0.720412506688585,"regular"
"scenario",747,569,-0.722424708302729,"scenario"
"relev",1735,1327,-0.725806977125565,"relev"
"python",3229,2470,-0.725915951089844,"python"
"promis",1029,788,-0.726829309865632,"promis"
"repres",1773,1379,-0.739506012080779,"repres"
"pro",2126,1658,-0.74167713790165,"pro"
"result",6374,5011,-0.748144350236302,"result"
"router",1638,1290,-0.749551760762651,"router"
"qualifi",865,683,-0.751628078267176,"qualifi"
"enter",42511,33944,-0.760501059093904,"enter"
"photo",1999,1618,-0.771153793935867,"photo"
"reveal",1346,1109,-0.784867760853349,"reveal"
"reset",1383,1143,-0.787218923853929,"reset"
"london",1309,1086,-0.790137525877359,"london"
"resolv",1552,1288,-0.790371714192792,"resolv"
"print",1718,1426,-0.790497931815898,"print"
"kit",1090,905,-0.7907175923202,"kit"
"rout",2351,1959,-0.793437597600415,"rout"
"headphon",810,676,-0.794620169512571,"headphon"
"quick",3087,2580,-0.795699418769998,"quick"
"restor",918,768,-0.796454811981428,"restor"
"root",1225,1025,-0.796574848596696,"root"
"refresh",689,577,-0.79721393435424,"refresh"
"inspir",1265,1083,-0.813627806564056,"inspir"
"sever",4733,4055,-0.814163720585202,"sever"
"pair",3287,2831,-0.818023538830865,"pair"
"itun",824,712,-0.820398744912329,"itun"
"replac",4336,3748,-0.820663135514566,"replac"
"screw",853,738,-0.821329066145266,"screw"
"pleas",4003,3468,-0.82231114195184,"pleas"
"refer",3904,3390,-0.823977472819825,"refer"
"scale",871,757,-0.82462504290901,"scale"
"setup",1140,992,-0.825507545025128,"setup"
"read",13785,11996,-0.825545659674986,"read"
"referenc",720,627,-0.826054462895587,"referenc"
"revers",1139,995,-0.828323387256806,"revers"
"servic",4667,4121,-0.83602864991527,"servic"
"server",9808,8686,-0.838119291736362,"server"
"reach",2028,1798,-0.838908918775076,"reach"
"properti",2141,1908,-0.842564222838688,"properti"
"script",4389,3921,-0.844302949761499,"script"
"rais",1132,1012,-0.844794458410539,"rais"
"serv",1719,1537,-0.844898137972242,"serv"
"player",918,839,-0.860176227735709,"player"
"ipad",1199,1099,-0.862171855194608,"ipad"
"ridicul",681,626,-0.864145108396291,"ridicul"
"scan",2290,2111,-0.866076219424109,"scan"
"pin",2549,2368,-0.871341438744342,"pin"
"skill",2292,2137,-0.873800913373381,"skill"
"readabl",751,702,-0.875521323130465,"readabl"
"sent",2271,2133,-0.878735944292606,"sent"
"separ",3607,3390,-0.879167971523934,"separ"
"quot",2548,2395,-0.879249052439064,"quot"
"run",23258,21953,-0.882044724319674,"run"
"perfect",3053,2912,-0.888989851516099,"perfect"
"novel",650,621,-0.890074286993545,"novel"
"repositori",763,733,-0.893709853261576,"repositori"
"remov",6891,6648,-0.89646611306826,"remov"
"screen",1889,1824,-0.897043389670357,"screen"
"strongli",587,570,-0.900704295845474,"strongli"
"parent",1416,1375,-0.900708314679011,"parent"
"product",4268,4159,-0.90298241594069,"product"
"search",2687,2623,-0.904121798199698,"search"
"recurs",586,574,-0.906322611127304,"recurs"
"resid",766,755,-0.910314231735371,"resid"
"instagram",1339,1325,-0.91283624436912,"instagram"
"roll",1210,1200,-0.914242741323263,"roll"
"safe",3406,3383,-0.915209487292729,"safe"
"scope",567,566,-0.918379352954429,"scope"
"shut",908,921,-0.92838417546489,"shut"
"signific",900,914,-0.929141500395703,"signific"
"rememb",4760,4865,-0.933088432348797,"rememb"
"session",596,623,-0.946793639961624,"session"
"pack",1605,1698,-0.953995022603938,"pack"
"shell",695,736,-0.95458478615537,"shell"
"screenshot",623,661,-0.955707443936841,"screenshot"
"state",2703,2870,-0.9561480953162,"state"
"sql",960,1020,-0.9565483518619,"sql"
"reader",783,832,-0.956592890334533,"reader"
"nail",560,596,-0.957543144056018,"nail"
"seriou",1309,1397,-0.959174368264091,"seriou"
"secret",2223,2375,-0.959809280674221,"secret"
"sell",1416,1521,-0.962980164114999,"sell"
"race",647,705,-0.971318193839047,"race"
"side",1223,1337,-0.973205540753287,"side"
"steal",951,1041,-0.973955065131757,"steal"
"repli",1387,1521,-0.974991086239157,"repli"
"site",3835,4244,-0.980201681034041,"site"
"return",5121,5680,-0.981489394694614,"return"
"serial",685,767,-0.986840552367491,"serial"
"save",4585,5134,-0.986855750140171,"save"
"rid",683,771,-0.99139349672885,"rid"
"similar",4799,5436,-0.993311239607,"similar"
"http",35346,40316,-0.997150399479887,"http"
"situat",742,850,-0.99953332256977,"situat"
"sourc",976,1129,-1.00486229835253,"sourc"
"review",1389,1608,-1.00528806549586,"review"
"stabl",736,854,-1.00653491232328,"stabl"
"second",6079,7054,-1.00656398326077,"second"
"slower",720,838,-1.0081968229618,"slower"
"hamper",855,997,-1.00921471603464,"hamper"
"rule",2813,3281,-1.00934836501477,"rule"
"semant",760,890,-1.01150782622686,"semant"
"slow",1777,2086,-1.01280740326858,"slow"
"send",5636,6622,-1.01329071574012,"send"
"rich",442,522,-1.01603673449698,"rich"
"signatur",494,588,-1.02019897996263,"signatur"
"sampl",764,910,-1.02056158978609,"sampl"
"remind",630,751,-1.02098929467892,"remind"
"speed",606,724,-1.02216410301389,"speed"
"social",2223,2665,-1.02397221256012,"social"
"signal",868,1047,-1.02719189954568,"signal"
"spread",709,859,-1.02949562963779,"spread"
"simpl",5416,6571,-1.03022050291848,"simpl"
"share",3128,3798,-1.03062134345778,"share"
"senior",873,1060,-1.03062541182447,"senior"
"ship",670,815,-1.03156972024352,"ship"
"sort",1578,1937,-1.0362465111061,"sort"
"silli",504,625,-1.04145108021179,"silli"
"shit",1798,2233,-1.04221029527884,"shit"
"paypal",865,1078,-1.04396340888809,"paypal"
"solut",2182,2723,-1.04464993238375,"solut"
"techniqu",829,1037,-1.04584725935281,"techniqu"
"round",704,887,-1.04945992404857,"round"
"sit",886,1130,-1.05551741014413,"sit"
"singl",4990,6366,-1.05565542273304,"singl"
"start",8657,11054,-1.05609405424224,"start"
"stack",743,955,-1.05933512511082,"stack"
"speak",1119,1445,-1.06161303685781,"speak"
"protest",955,1236,-1.0627096210259,"protest"
"serious",1125,1463,-1.06503152857827,"serious"
"solid",844,1110,-1.07045385050686,"solid"
"system",3989,5256,-1.07134724803905,"system"
"select",2537,3354,-1.07294222701031,"select"
"threat",444,588,-1.07376634024543,"threat"
"size",623,836,-1.07999450701515,"size"
"slightli",946,1270,-1.08020454644509,"slightli"
"standard",2716,3649,-1.08056259815624,"standard"
"ring",623,838,-1.08111491272528,"ring"
"split",419,565,-1.08227643981885,"split"
"skip",477,645,-1.08357290443488,"skip"
"stolen",740,1001,-1.08374560232888,"stolen"
"strict",388,535,-1.09258200070215,"strict"
"stick",865,1194,-1.09307212456444,"stick"
"store",3296,4568,-1.09490809210766,"store"
"subject",831,1154,-1.09581344028002,"subject"
"structur",494,692,-1.09973876903457,"structur"
"ssh",489,685,-1.0997414269484,"ssh"
"sysadmin",403,566,-1.10090965990816,"sysadmin"
"suffici",414,584,-1.10286882666756,"suffici"
"stuff",1334,1898,-1.10668571276063,"stuff"
"target",1963,2818,-1.11062402970389,"target"
"russian",1184,1732,-1.11880745925643,"russian"
"task",926,1355,-1.11893844987904,"task"
"technolog",524,769,-1.1201923146034,"technolog"
"simpli",5847,8607,-1.12149861114671,"simpli"
"struggl",357,535,-1.12908390138382,"struggl"
"studi",876,1325,-1.13296292260051,"studi"
"solv",1895,2880,-1.13494472963508,"solv"
"strong",1042,1618,-1.14375219577634,"strong"
"special",2642,4104,-1.14390512368004,"special"
"suit",520,815,-1.14751183501512,"suit"
"submit",719,1131,-1.14897093560479,"submit"
"readi",2578,4079,-1.15130361685149,"readi"
"success",1297,2063,-1.1533960518918,"success"
"stuck",691,1104,-1.15515379264032,"stuck"
"space",798,1280,-1.15670870172331,"space"
"stay",1830,2972,-1.16155336659098,"stay"
"support",2942,4811,-1.1642191315094,"support"
"tend",758,1247,-1.1665224987951,"tend"
"thousand",896,1480,-1.16806805860706,"thousand"
"strang",501,828,-1.1682777959096,"strang"
"step",1404,2325,-1.16903468092283,"step"
"statement",540,895,-1.16936163392552,"statement"
"sound",2172,3609,-1.17032117319407,"sound"
"kindl",756,1260,-1.17147320540125,"kindl"
"suspect",516,892,-1.18503271371176,"suspect"
"soft",299,528,-1.19271022887337,"soft"
"straight",722,1292,-1.1974124118629,"straight"
"spot",311,559,-1.19897022262663,"spot"
"static",1781,3205,-1.19938372218236,"static"
"tech",645,1163,-1.20007292499341,"tech"
"retweet",3051,5545,-1.20282880419503,"retweet"
"suppos",1293,2390,-1.20863774687679,"suppos"
"suggest",2651,4941,-1.21145559690336,"suggest"
"suck",578,1080,-1.21230343779458,"suck"
"switch",2497,4668,-1.21247137705379,"switch"
"student",642,1207,-1.21437466960945,"student"
"stand",1081,2040,-1.21563161640144,"stand"
"subscrib",342,653,-1.2195154985328,"subscrib"
"stop",2468,4713,-1.21956503354932,"stop"
"score",448,863,-1.22242414462885,"score"
"technic",1617,3141,-1.22514248180791,"technic"
"teach",484,942,-1.22577481383264,"teach"
"stream",472,920,-1.22625165382957,"stream"
"theoret",273,547,-1.23504424573452,"theoret"
"symbol",280,568,-1.23890470388907,"symbol"
"surpris",768,1561,-1.23951288103077,"surpris"
"sync",273,559,-1.24179344617435,"sync"
"term",1045,2163,-1.24509868171693,"term"
"stori",357,739,-1.24512390412707,"stori"
"templat",340,713,-1.24904655656265,"templat"
"snap",334,702,-1.24972367275726,"snap"
"trick",560,1178,-1.24997658115396,"trick"
"shot",324,683,-1.25060921574419,"shot"
"termin",743,1582,-1.25358201371862,"termin"
"transfer",298,638,-1.25520352343777,"transfer"
"text",1117,2434,-1.26034977511706,"text"
"temporari",288,631,-1.26192275439882,"temporari"
"tab",368,809,-1.26289024275981,"tab"
"test",3483,7699,-1.2644564020671,"test"
"prize",6228,14099,-1.27117355599094,"prize"
"tradit",333,776,-1.27911709200995,"tradit"
"tool",2600,6106,-1.28120414449496,"tool"
"terribl",372,892,-1.28672902604057,"terribl"
"unabl",253,608,-1.28730980267805,"unabl"
"string",2719,6559,-1.28830104557268,"string"
"talk",2005,4890,-1.29115123275994,"talk"
"surviv",222,546,-1.29331010608139,"surviv"
"sign",2512,6195,-1.29400627224475,"sign"
"recip",295,729,-1.29452558831788,"recip"
"typic",855,2124,-1.29586206350607,"typic"
"translat",220,550,-1.29746363678639,"translat"
"trigger",286,729,-1.30230277544042,"trigger"
"underli",203,518,-1.30257135697768,"underli"
"time",2464,6290,-1.30267150835398,"time"
"syntax",299,767,-1.30386992990767,"syntax"
"trust",603,1560,-1.30594376197577,"trust"
"super",951,2463,-1.30621084091423,"super"
"token",456,1183,-1.30662270449486,"token"
"ubuntu",828,2167,-1.30874289091132,"ubuntu"
"trivial",269,706,-1.30942023579886,"trivial"
"truli",358,948,-1.31155117447291,"truli"
"total",1457,3881,-1.31294867563481,"total"
"tutori",408,1093,-1.31429309971615,"tutori"
"track",748,2015,-1.31559625470286,"track"
"team",952,2569,-1.31600173840709,"team"
"theme",250,692,-1.32186062783496,"theme"
"unknown",324,905,-1.32391466657996,"unknown"
"thread",1003,2962,-1.33612849233301,"thread"
"unix",279,841,-1.34045918233637,"unix"
"tire",210,640,-1.34274144806542,"tire"
"upgrad",711,2173,-1.34332577724918,"upgrad"
"unnecessari",194,595,-1.34404833410527,"unnecessari"
"updat",3283,10132,-1.34532557622593,"updat"
"uniqu",603,1866,-1.34587475109676,"uniqu"
"sponsor",337,1057,-1.34859882606191,"sponsor"
"rose",170,534,-1.34889793274512,"rose"
"sock",204,653,-1.35264474455997,"sock"
"unlik",189,609,-1.353942106028,"unlik"
"type",1995,6455,-1.35474975857034,"type"
"tag",876,2842,-1.3552720542833,"tag"
"suppli",394,1280,-1.35553735125298,"suppli"
"tip",638,2089,-1.35705126062963,"tip"
"touch",480,1573,-1.35721497932505,"touch"
"titl",232,772,-1.36013245239765,"titl"
"undefin",228,775,-1.36411663919659,"undefin"
"usabl",151,519,-1.36616362153012,"usabl"
"univers",239,824,-1.36672779384642,"univers"
"unlock",173,597,-1.36689554955977,"unlock"
"unfortun",599,2089,-1.36881197586184,"unfortun"
"true",1525,5396,-1.37140946632619,"true"
"top",1485,5263,-1.37169816609008,"top"
"upload",494,1807,-1.37722736313094,"upload"
"twice",266,1010,-1.38353630773267,"twice"
"understand",1664,6515,-1.38854804688984,"understand"
"travel",266,1049,-1.38970448645635,"travel"
"unit",414,1640,-1.39041999164982,"unit"
"usag",174,690,-1.39058699911454,"usag"
"util",213,846,-1.39083952387679,"util"
"user",3989,16002,-1.39240918184784,"user"
"usb",594,2405,-1.39385548449893,"usb"
"twitter",305,1275,-1.39875006201758,"twitter"
"ugli",158,662,-1.39909338053211,"ugli"
"url",616,2617,-1.40116382371936,"url"
"usernam",291,1255,-1.40337591177549,"usernam"
"victim",265,1158,-1.40528446364535,"victim"
"treat",349,1628,-1.41439947328697,"treat"
"tough",135,637,-1.41593815546723,"tough"
"upcom",109,523,-1.41815427947082,"upcom"
"version",680,3269,-1.41840520108329,"version"
"usual",1162,5714,-1.421337323087,"usual"
"vendor",236,1175,-1.42291793867627,"vendor"
"visit",275,1379,-1.4238195226498,"visit"
"tree",195,1017,-1.4286572128305,"tree"
"video",475,2481,-1.42883697253542,"video"
"ultim",385,2053,-1.43130929233972,"ultim"
"vulner",624,3343,-1.4318584553085,"vulner"
"tune",222,1214,-1.43424731764769,"tune"
"virtual",448,2537,-1.43820344070656,"virtual"
"valid",469,2764,-1.44255319651826,"valid"
"tweet",298,1985,-1.45487233695523,"tweet"
"valuabl",94,644,-1.45749496112341,"valuabl"
"sweep",293,2055,-1.45962650345972,"sweep"
"ticket",1609,12859,-1.47062087248664,"ticket"
"verifi",139,1139,-1.47256710727162,"verifi"
"view",213,1787,-1.47435786865282,"view"
"visual",188,1588,-1.47486578072667,"visual"
"web",375,3170,-1.47492334534621,"web"
"usa",125,1077,-1.47633027521525,"usa"
"visibl",83,727,-1.47752423955002,"visibl"
"vpn",138,1315,-1.48333545190971,"vpn"
"valu",491,5049,-1.48818355500319,"valu"
"wall",70,737,-1.48961186592736,"wall"
"warn",170,1904,-1.49319877125973,"warn"
"weak",72,891,-1.49853927475459,"weak"
"vlan",47,634,-1.50274457625145,"vlan"
"weird",104,1408,-1.50291394251102,"weird"
"west",39,536,-1.50360842843707,"west"
"wait",174,2591,-1.50713972329072,"wait"
"wifi",64,961,-1.50749139025048,"wifi"
"walk",100,1507,-1.50764276386153,"walk"
"variabl",416,6752,-1.51063228135745,"variabl"
"wild",50,857,-1.51269116484688,"wild"
"visa",33,620,-1.51591478797836,"visa"
"will",57,1098,-1.51674206518074,"will"
"vote",71,1639,-1.52215554095891,"vote"
"welcom",50,1188,-1.52293136163892,"welcom"
"websit",276,6565,-1.52296060080396,"websit"
"vip",35,942,-1.52603863385348,"vip"
"voucher",128,3551,-1.52673712808765,"voucher"
"wear",35,1059,-1.52862455102749,"wear"
"wipe",26,817,-1.52939706249416,"wipe"
"wikileak",21,699,-1.53051889827564,"wikileak"
"wire",14,577,-1.53415969852207,"wire"
"wrap",24,1031,-1.53478023984162,"wrap"
"window",312,16723,-1.53769152024908,"window"
"wow",7,727,-1.54337893545972,"wow"
"winner",29,4881,-1.54570169837846,"winner"
"write",35,8196,-1.54675436711494,"write"
"youtub",1,790,-1.54864709176309,"youtub"
"zero",0,1629,-1.54944449955667,"zero"
